VideoCompletes,SocialLikes,SocialShares,conversion
275613,221,13,0
262594,221,13,10
253246,212,13,65
246764,215,13,2
246596,215,13,10
247873,213,9,96
259422,261,11,10
262068,261,11,0
251832,196,9,78
251929,206,10,0
257706,206,10,25
255286,192,7,96
252685,198,7,0
342513,198,7,59
365581,199,6,5
296817,198,6,54
290086,190,6,42
285295,191,6,2
285447,194,6,22
286690,176,5,145
301575,230,15,0
302638,230,15,8
283907,165,13,142
282678,191,13,0
283939,191,13,5
283856,171,13,93
284120,185,13,0
360678,185,13,23
383660,186,13,2
316056,185,13,15
289295,183,13,91
287533,195,18,14
288372,195,18,12
292367,190,18,23
302572,225,20,0
302289,225,20,15
294010,178,18,140
289570,191,18,0
286378,191,18,6
284964,181,17,38
279617,184,17,1
335260,182,17,4
338411,180,18,0
255448,180,18,3
232889,175,18,64
227743,181,18,4
224588,181,18,6
226278,180,18,49
245621,221,18,0
245176,219,18,0
227779,166,8,26
225547,209,8,0
226259,209,8,0
225579,183,8,186
221838,187,8,0
314349,186,8,28
325051,188,8,0
248120,188,8,6
225337,185,8,159
227566,196,8,0
228438,196,8,15
237392,184,3,3
247747,216,5,0
244441,216,5,12
243125,187,3,64
244440,201,3,0
246085,200,3,11
246897,189,3,62
248308,202,3,0
322709,202,3,15
324414,217,3,8
268274,218,3,5
265123,214,2,42
258316,233,4,0
257810,233,4,3
257810,227,4,108
270257,257,4,4
270592,257,4,23
251985,213,4,189
253845,219,4,0
251774,219,4,10
258319,176,4,207
258753,188,4,4
327204,187,4,3
337270,186,4,0
245439,186,4,34
234472,169,4,89
234183,178,4,0
241244,178,4,12
239160,167,4,34
249577,198,14,5
241877,200,14,14
232086,168,12,233
231673,174,13,0
225484,168,13,0
230380,155,13,396
221346,159,13,0
295714,157,13,21
296134,157,13,6
229818,157,13,2
227410,139,13,115
231693,145,13,0
236372,144,13,7
238288,125,11,14
247750,154,15,14
249208,154,15,7
237632,124,15,172
235608,127,15,0
234782,127,15,5
239599,123,17,605
242142,128,17,4
313112,128,17,4
312742,124,17,4
250920,124,17,2
240861,121,17,72
239654,123,17,0
242833,123,17,6
246537,114,17,24
251125,147,17,13
254404,147,17,60
241887,116,7,136
240948,120,7,0
243462,122,7,4
253629,116,6,526
250568,148,6,4
308996,147,6,63
315308,155,12,0
249955,155,12,4
248147,144,12,70
240062,146,12,0
245498,146,12,13
241540,139,12,1
255217,164,12,1
253438,164,12,18
244034,137,8,127
